lat,lon,station,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
30.82,-88.5,agricola,6.777018,10.790832,9.528085,6.493108,10.401948,10.675861,6.819521,3.7332685,0.5856936,3.537833,6.586432,5.3966384,3.827844,3.792627,5.780098,3.9595416,12.657722,16.55466,16.477934,4.4365478,7.036542,12.484749,8.30064
31.29,-86.5,andalusia,6.527018,6.6033316,7.2155843,8.618108,7.3394485,5.1133614,8.257021,6.4207687,5.335694,3.287833,6.711432,6.1466384,4.640344,4.2301273,1.1550981,2.0220416,2.1577222,4.8046613,5.8529334,3.6240475,13.974042,8.297249,8.55064
31.02,-87.4,atmore,6.652018,5.9783316,7.4030843,8.493108,5.6519485,6.9883614,11.444521,7.4832687,5.460694,3.412833,3.8364317,6.0841384,4.327844,2.292627,2.155098,4.209542,5.157722,2.5546613,5.0404334,13.186547,8.849042,6.984749,11.55064
30.89,-87.8,bayminette,5.964518,7.0408316,9.778085,11.243108,8.339448,9.300861,10.569521,6.6082687,1.5231936,3.412833,4.898932,5.1466384,3.952844,1.6676272,2.530098,5.272042,7.407722,2.9921613,14.040434,14.936547,14.224042,14.359749,9.67564
31.3,-87,castleberry,6.589518,7.1658316,7.5905843,8.118108,4.9644485,6.1133614,6.944521,4.3582687,4.273194,3.975333,2.2114317,2.2091382,0.82784396,2.855127,1.6550981,3.6470416,4.657722,8.367162,4.0404334,7.9365478,9.536542,6.859749,10.73814
31.16,-86.7,dixie,4.839518,4.9783316,5.0905843,7.680608,6.2144485,2.8008614,6.632021,6.7957687,2.4606936,1.725333,4.023932,6.2091384,3.452844,5.4801273,0.842598,2.5220416,2.7202222,5.7421613,7.0404334,6.6865478,7.224042,5.609749,7.1756396
30.41,-87.6,elberta,6.527018,6.1033316,7.9030843,9.555608,11.776948,8.613361,9.194521,14.545769,8.835693,14.662833,6.336432,11.584138,3.265344,5.7301273,4.280098,3.3345416,4.470222,5.9921613,13.415434,13.061547,13.099042,12.422249,7.5506396
30.54,-87.9,fairhope,7.777018,7.9783316,9.840585,13.180608,11.151948,8.238361,11.382021,3.9832685,6.273194,3.350333,3.6489317,3.8341382,3.140344,0.6051272,3.342598,3.5845416,5.782722,12.117162,15.415434,14.186547,14.474042,13.547249,7.8006396
31,-86.3,florala,6.402018,5.8533316,6.1530843,9.180608,9.526948,13.550861,7.007021,9.545769,7.210694,13.100333,4.461432,2.3966382,4.077844,1.9801272,6.030098,3.6470416,3.4077222,8.054662,12.852934,6.4365478,11.536542,6.359749,7.1756396
30.37,-87.6,foley,6.027018,6.0408316,7.5280843,8.743108,11.026948,8.863361,8.819521,12.420769,8.585693,14.287833,9.2114315,10.834138,3.765344,6.2301273,4.155098,3.4595416,4.407722,11.617162,13.352934,12.936547,12.911542,12.297249,12.80064
30.24,-87.9,gasque,5.339518,7.4158316,9.340585,10.680608,13.089448,9.988361,10.444521,11.233269,11.023193,16.225332,12.2739315,12.834138,8.827844,7.2301273,6.155098,6.209542,7.282722,9.242162,9.790434,9.249047,9.349042,8.422249,6.9256396
31.06,-85.8,geneva,6.777018,7.1033316,6.7780843,6.680608,8.026948,8.238361,9.819521,7.9207687,11.023193,7.475333,10.1489315,0.14663823,1.702844,1.5426272,4.280098,2.0220416,4.157722,1.9296613,14.040434,5.8115478,4.474042,3.4222486,4.6131396
30.95,-87.2,jay,8.027019,5.2908316,8.028085,12.930608,8.714448,7.3633614,14.569521,6.9832687,4.773194,3.975333,1.1489317,3.7716382,3.702844,4.9801273,3.405098,3.0220416,4.032722,7.6171613,11.790434,13.999047,13.536542,6.422249,9.86314
31.22,-86.2,kinston,6.339518,6.4158316,5.4030843,7.493108,9.339448,3.9258614,4.757021,6.9832687,7.648194,8.225333,4.836432,3.7716382,1.827844,3.917627,2.592598,4.584542,5.282722,5.3046613,4.4779334,12.624047,5.474042,4.547249,7.4881396
31.18,-88.6,leakesville,6.402018,8.415832,6.6530843,10.805608,5.0894485,6.3008614,2.382021,2.1082685,2.5856936,3.412833,5.773932,4.8966384,3.515344,2.230127,4.405098,4.834542,4.282722,2.4921613,5.2279334,5.2490478,5.661542,10.234749,9.98814
30.64,-87.7,loxley,7.589518,6.8533316,9.653085,13.243108,11.339448,7.8008614,12.507021,5.9832687,2.5856936,4.225333,4.086432,1.7091383,1.890344,1.4176272,2.967598,1.8970416,3.8452222,5.9921613,8.415434,13.686547,13.661542,8.109749,8.36314
30.56,-88.1,mobiledr,7.902018,6.7908316,9.090585,11.743108,8.089448,8.800861,2.819521,4.6082687,3.8356936,2.725333,3.5239317,3.8966382,2.640344,3.355127,5.030098,2.9595416,9.845222,11.804662,13.727934,12.186547,6.349042,12.547249,12.73814
30.69,-88.2,mobileusaw,6.839518,8.290832,9.465585,8.493108,7.6519485,8.050861,8.132021,5.1707687,1.8356936,2.037833,2.9614317,3.7716382,4.640344,2.667627,2.717598,6.459542,1.2827222,13.492162,13.915434,12.061547,13.349042,12.359749,7.4256396
30.83,-88.1,saraland,3.527018,8.165832,10.840585,6.805608,7.9019485,8.863361,6.444521,4.9207687,1.2731936,1.350333,6.023932,6.9591384,2.015344,3.605127,1.5925981,1.0220416,4.095222,11.054662,13.915434,13.061547,14.099042,12.047249,7.6131396
